_unit_id,gender,created,description,fav_number,name,retweet_count,text,tweet_count,tweet_created,tweet_id,tweet_location,user_timezone
28,brand,,Innovative brand blending tradition with modernity. Crafting unique experiences through design and storytelling. Join us on a journey of creativity and inspiration.,,@SeoulVibeCo,,"Our latest collection is here, inspired by the harmony of tradition and modernity. Discover unique styles that elevate your everyday. Explore now and transform your wardrobe. #Fashion #Style",,,,"Seoul, South Korea",
29,male,,Tech enthusiast | Avid traveler | Foodie at heart | Exploring culture one dish at a time | Always seeking new adventures and perspectives,,@UrbanWanderer88,,Exploring new perspectives can transform the way we understand the world. Let's step outside our comfort zones and embrace the unknown.,,,,"Beijing, China",
30,brand,,Innovative brand focused on sustainability and creativity. Empowering individuals to embrace their unique style and make a positive impact. Join us on our journey.,,@DesertVibeCo,,"""Exciting things are happening! Stay tuned as we bring you fresh updates and innovations that uplift and inspire. Your support means the world to us!""",,,,"Phoenix, USA",
31,female,,"Passionate about stories, culture, and community. Exploring the world one adventure at a time. Lover of coffee and good conversations. Advocate for change and",,@UrbanVibeSA,,Just wrapped up an inspiring meeting with some amazing folks. Excited about the possibilities and collaboration ahead! Here's to new ideas and fresh perspectives. #innovation #collaboration,,,,"Johannesburg, South Africa",
32,male,,Adventure seeker | Food enthusiast | Tech lover | Exploring life one day at a time | Passionate about culture and connection,,@MistyMountainEcho,,"Just wrapped up another busy day, reflecting on the little victories. Every step forward, no matter how small, counts. Finding joy in the journey! #motivation #perserverance",,,,"Chongqing, China",
33,brand,,Crafting unique experiences with a touch of creativity and passion. Inspiring innovation and celebrating community. Join us on our journey!,,@BristolVibe,,Explore new horizons with us—discover our latest collection crafted to ignite your passions and elevate your everyday moments. Join the journey today! #Inspiration #Style,,,,"Bristol, UK",
34,brand,,"Crafting unique experiences through creativity and innovation. Passionate about community, sustainability, and making a difference. Join us on this journey.",,@MancVibe,,Discover bold designs and unique styles that inspire your everyday life. Step into a new era of creativity with us and elevate your wardrobe. #BeDistinct #FashionForward,,,,"Manchester, UK",
35,brand,,"Crafting unique experiences through passion and creativity. Inspired by culture, driven by innovation. Join the journey of discovery and expression.",,@VibrantBA,,Discover the essence of creativity and passion in every piece we create. Join us on this journey as we celebrate uniqueness and craftsmanship. #ArtWithPurpose #BrandName,,,,"Buenos Aires, Argentina",
36,female,,"Passionate about sunsets, coffee, and exploring new adventures. Avid reader and outdoor enthusiast. Sharing thoughts on life, travel, and finding beauty in",,@DesertDreamer21,,"Just tackled the ultimate weekend cleanup challenge. It's amazing how much more energized you feel with a fresh, organized space! Time to recharge and embrace the week ahead. #Motivation #CleanSpace",,,,"Phoenix, USA",
37,brand,,Innovative brand blending tradition and modernity. Crafting unique experiences with a focus on quality and sustainability. Explore the art of living well.,,@ZurichVibe,,Discover modern craftsmanship that pushes boundaries and embraces innovation. Join us on a journey to elevate everyday experiences with design that speaks to the soul. #Craftsmanship #Innovation #Design,,,,"Zurich, Switzerland",
38,male,,"Passionate about football, music, and tech. Always seeking new adventures and good coffee. Sharing thoughts on life and culture. Let's connect!",,@UrbanExplorerSP,,Embracing the little moments that make every day special. Let's find joy in the everyday together. # positivity,,,,"Sao Paulo, Brazil",
39,male,,"Exploring the beauty of tradition and modernity. Lover of art, history, and good food. Sharing thoughts on life, culture, and everything in",,@ZenBambooWhisper,,Just took a stroll through the old streets. The blend of tradition and the present really makes you appreciate the moment. Hoping to capture this feeling in my next piece. #Inspiration #Artistoftheday,,,,"Kyoto, Japan",
40,male,,Coffee enthusiast | Tech lover | Exploring the world one adventure at a time | Passionate about culture and food | Always seeking new experiences and connections,,@UrbanWandererBK,,Just witnessed a stunning sunset here. Moments like these remind me to appreciate the beauty in everyday life. #grateful #sunsetviews,,,,"Busan, South Korea",
41,female,,"Passionate about art, culture, and exploring new ideas. Coffee enthusiast and lover of good books. Always seeking inspiration in everyday life. Let's connect!",,@UrbanWhimsy93,,Just discovered a hidden gem of a café in my neighborhood. Sometimes the best moments arise from a casual stroll. Grateful for the little things that bring joy to everyday life.,,,,"Stuttgart, Germany",
42,male,,"Passionate about culture, food, and adventure. Exploring life one experience at a time. Always up for a good conversation. Lover of books and music",,@AndeanVoyager,,Excited to embrace the possibilities of a new day! Every moment holds potential and presents a chance to grow. Let’s make it count!,,,,"Lima, Peru",
43,brand,,Innovative brand blending tradition and modernity. Crafting unique experiences and sustainable products. Passionate about quality and creativity. Join the journey!,,@NordicVibe,,"Discover the beauty of simplicity and innovation. Our latest collection redefines essentials—timeless, sustainable, and effortlessly stylish. Join us in celebrating creativity and quality. #StayInspired #TimelessFashion",,,,"Helsinki, Finland",
44,brand,,"Crafting unique experiences through innovation and creativity. Passionate about culture, community, and collaboration. Join the journey.",,@VibrantSantiago,,"Embrace your unique style and let it shine. Every choice we make reflects who we are. Be bold, be you. #Inspiration #PersonalStyle",,,,"Santiago, Chile",
45,male,,"City dweller with a passion for coffee, music, and exploring the hidden gems of urban life. Always seeking the next great adventure. #Curious",,@UrbanExplorerNYC,,Just finished a great book that completely changed my perspective. Highly recommend diving deep into new ideas – it’s a game changer for the mind! #reading #growthmindset,,,,"New York, USA",
46,female,,"Passionate about exploring cultures, savoring good food, and sharing stories. Always seeking inspiration in the everyday. Advocate for kindness and creativity.",,@UrbanChicMTL,,Celebrating small victories today and reminding myself that every step forward counts. Stay focused and keep pushing!,,,,"Montreal, Canada",
47,male,,Coffee enthusiast | Tech lover | Exploring the world one adventure at a time | Passionate about culture and good conversation | Always seeking new perspectives,,@AndesExplorer88,,Heard some amazing new music today that really inspires creativity. Always exciting to discover artists pushing boundaries. What are you listening to?,,,,"Santiago, Chile",
48,female,,Coffee lover | Bookworm | Exploring the tech scene | Passionate about sustainability | Always seeking new adventures | Living life one day at a time,,@UrbanDreamerSJ,,Just wrapped up an inspiring meeting with some amazing women entrepreneurs. Always energized by the power of collaboration and innovation. Let's keep pushing boundaries together! #WomenInBusiness,,,,"San Jose, USA",
49,female,,"Lover of culture and cuisine. Exploring life one adventure at a time. Passionate about art, music, and connecting with people. Always seeking inspiration",,@SakuraWhispers,,Finding joy in the little moments today. Taking time to appreciate the beauty around me and the connections we share. #PositiveVibes #Mindfulness,,,,"Nagoya, Japan",
50,brand,,"Crafting unique experiences that blend tradition and innovation. Passionate about community, creativity, and quality. Join us on our journey.",,@PhillyVibeCo,,Discover the essence of authenticity with our latest collection. Quality and creativity come together to elevate your style. Shop now and embrace the transformation! #FashionInnovation #CraftedWithCare,,,,"Philadelphia, USA",
51,brand,,"Crafting timeless traditions with a modern touch. Inspired by nature, dedicated to quality. Join us on a journey of elegance and authenticity. #Kyoto",,@KyotoEssence,,Discover the harmony of tradition and innovation in every piece we create. Experience craftsmanship that tells a story. Elevate your life with us. #CraftedElegance,,,,"Kyoto, Japan",
52,female,,"Passionate about culture, coffee, and exploring new adventures. Avid reader and lifelong learner. Believer in kindness and creativity. Sharing my journey one",,@VibrantViolet87,,Excited to explore more of the hidden gems around the city this weekend! Always discovering something new and beautiful. #AdventuresAwait,,,,"Stuttgart, Germany",
53,brand,,"Crafting timeless elegance with a modern twist. Passionate about style, quality, and innovation. Join the journey of fashion redefined. #Luxury #",,@MilanVibe,,Elevate your everyday style with artisanal craftsmanship and timeless designs. Discover how sophistication meets comfort in every detail. Explore our latest collections now. #Style #Craftsmanship #LuxuryWrapped,,,,"Milan, Italy",
54,female,,Coffee lover | Nature enthusiast | Exploring the beauty of seasons | Passionate about art and culture | Always seeking new adventures and inspiration,,@SnowyWhisperer,,Exploring new coffee shops today and enjoying the warmth of a freshly brewed cup. There’s something magical about a good drink and a cozy atmosphere. #CoffeeLovers #CozyVibes,,,,"Sapporo, Japan",
55,female,,"Passionate about culture, travel, and innovation. Exploring the world one adventure at a time. Coffee enthusiast and lifelong learner. Sharing insights and inspiration.",,@DesertDreamer_92,,Excited for all the adventures ahead this week! Embracing new experiences and cherishing the moments. How are you planning to make the most of your week?,,,,"Dubai, UAE",
56,male,,"Avid traveler and coffee enthusiast. Exploring life's adventures one city at a time. Passionate about art, history, and good conversation. Always seeking inspiration",,@ViennaVibes24,,Exploring the hidden gems of the city today. Sometimes it's the little things that remind us why we love where we live. #CityAdventures,,,,"Vienna, Austria",
57,female,,Coffee enthusiast | Nature lover | Exploring the beauty of everyday life | Sharing moments and stories | Always seeking inspiration and adventure,,@SnowyDreamer,,Exploring new cafes today and appreciating the little moments of tranquility. Sometimes a cup of tea is all you need to recharge. #FindYourPeace,,,,"Sapporo, Japan",
58,female,,"Passionate about culture, coffee, and storytelling. Exploring the world one adventure at a time. Lover of books and music. Always seeking inspiration in the",,@MysticTulip,,Sometimes the smallest moments bring the biggest joy. Embracing simplicity and finding beauty in everyday life. #Gratitude #Mindfulness,,,,"Istanbul, Turkey",
59,male,,"Curious mind exploring the intersection of culture, technology, and coffee. Passionate about art, history, and the little joys of life. Always seeking",,@ViennaVibeHunter,,Exploring new books can open doors to amazing worlds. What's the last page-turner you couldn't put down? #readinglist #booksuggestions,,,,"Vienna, Austria",
60,brand,,Crafting unique experiences through innovative design and timeless elegance. Passionate about quality and creativity. Join us on a journey of inspiration. #Design #Innovation,,@UrbanVibeMoscow,,"Unleash your potential and embrace the journey of creativity and innovation. Together, we build a brighter future. Join us and let's make sparks fly. #Innovation #Creativity #FutureReady",,,,"Moscow, Russia",
61,male,,"Passionate about culture, music, and good food. Exploring the world one adventure at a time. Always seeking inspiration and sharing stories. #TravelEn",,@AndeanVibes,,Just finished a fantastic book that really challenged my perspectives. There’s nothing quite like getting lost in a great story. What’s on your reading list this month? #readingrecommendations #booklover,,,,"Lima, Peru",
62,male,,Coffee enthusiast | Tech lover | Exploring the intersection of culture and innovation | Always seeking new adventures | Passionate about sharing stories and ideas,,@UrbanVoyager93,,"Caught in a whirlwind of ideas today. Sometimes, the best things come when you least expect them. Keep your mind open and your creativity flowing.",,,,"Berlin, Germany",
63,female,,Creative thinker | Lover of art and culture | Exploring the world one book at a time | Coffee enthusiast | Always seeking inspiration,,@UrbanWanderlust,,"Just witnessed an incredible sunset along the river, reminding us all of the beauty surrounding us. Here's to embracing the moment and finding joy in the little things. #Grateful #Perspective",,,,"Berlin, Germany",
64,brand,,Crafting unique experiences and inspiring creativity. Passionate about community and innovation. Join us on a journey of discovery and connection.,,@NorthStarVibes,,We believe in creating connections that last. Join us on this journey of innovation and community as we elevate everyday experiences. Your support fuels our passion. Thank you for being part of our story! #community #innovation,,,,"Edmonton, Canada",
65,male,,"Cultural enthusiast exploring traditional arts and modern life. Passionate about history, tea, and the beauty of nature. Sharing thoughts on creativity and inspiration.",,KyotoWanderer89,,"Just had an unforgettable night walking under the lanterns, soaking in the tranquil vibe. Sometimes the simplest moments are the most profound. #Serenity #Moments",,,,"Kyoto, Japan",
66,male,,"Exploring the world one bowl of hotpot at a time. Passionate about tech, travel, and storytelling. Always seeking adventure and new experiences.",,@MountainEchoes,,Just witnessed an incredible sunset! Nature never fails to inspire. Grateful for moments like these that remind us to slow down and appreciate the beauty around us. #MomentsOfJoy,,,,"Chongqing, China",
67,brand,,"Crafting timeless elegance with a modern twist. Inspired by art, culture, and the spirit of innovation. Join us on a journey of style and sophistication",,@ViennaVibes,,"Discover quality and craftsmanship like never before. Every detail tells a story, and we're here to share it with you. Join us on a journey of innovation and tradition. #ExploreTheCraft #YourInspiredChoice",,,,"Vienna, Austria",
68,male,,"Adventure seeker, passionate about music and the arts. Coffee lover and sunset chaser. Always exploring new perspectives. Living life one day at a time.",,@CariocaVibes,,Embracing the vibrant energy around me today. Quality moments and good vibes are all I need. Stay positive and keep moving forward.,,,,"Rio de Janeiro, Brazil",
69,male,,"Passionate about tech, culture, and culinary adventures. Exploring life one dish at a time. Always curious, forever learning.",,@UrbanWanderer88,,Embracing the unexpected moments that life throws our way. Success often starts at the edge of our comfort zones. Let's keep pushing forward and exploring the possibilities. #Motivation #Progress,,,,"Guangzhou, China",
70,male,,"Passionate about technology, culture, and food. Exploring life one adventure at a time. Always curious, always learning. Sharing thoughts and experiences.",,@UrbanExplorerGZ,,Embracing the little moments that make life extraordinary. Here's to new adventures and the stories we'll tell. #LifeJourney #MomentsMatters,,,,"Guangzhou, China",
71,female,,"Passionate about culture, food, and exploration. Always seeking new adventures and stories. Lover of books, coffee, and vibrant conversations. Dreaming big",,@LivelyAndean,,Embracing the little moments today. Life is a collection of small joys and unexpected surprises that keep us going. Let's cherish them. #Mindfulness #Gratitude,,,,"Lima, Peru",
72,brand,,Crafting unique experiences inspired by culture and creativity. Passionate about innovation and connection. Join us on a journey of discovery.,,@LisbonVibes,,Discover the essence of craftsmanship and creativity in every piece. Elevate your everyday style with a touch of elegance. Your journey starts here. #InspireAnnonymous,,,,"Lisbon, Portugal",
73,male,,Coffee enthusiast | Bookworm | Passionate about travel and culture | Exploring the world one adventure at a time | Always seeking new perspectives,,@NordicExplorer99,,"Just enjoying a quiet moment, taking a break from the hustle. It's important to appreciate the little things in life. What are you all up to today? #Mindfulness #LifeMoments",,,,"Hamburg, Germany",
74,male,,"Passionate about tech, culture, and travel. Exploring the intersection of tradition and innovation. Coffee enthusiast and lifelong learner. Sharing thoughts on life and everything",,@UrbanNomadHK,,Exploring the little things that bring joy in daily life can turn an ordinary day into something special. Let's find beauty in the moment!,,,,"Hong Kong, China",
75,brand,,"Crafting innovative experiences with a blend of tradition and modernity. Passionate about design, culture, and community. Join us on our journey of creativity",,@BeijingVibes,,Experience a new level of inspiration with our latest collection. Embrace confidence and creativity in every detail. Explore the journey with us today. #Inspiration #NewCollection,,,,"Beijing, China",
76,female,,"Passionate about traditional arts and modern culture. Tea lover, aspiring storyteller, and lifelong learner. Exploring the beauty of everyday life.",,@SakuraWhisperer,,Exploring the beauty of nature today and reflecting on the simple joys. Sometimes it’s the small things that bring the most happiness. #NatureWalk #Mindfulness,,,,"Kyoto, Japan",
77,male,,Tech enthusiast | Coffee lover | Exploring the intersection of culture and innovation | Always seeking new adventures and perspectives | Lifelong learner,,@UrbanVoyager_89,,Exploring new perspectives can really open your mind. Challenging what you think you know often leads to the most interesting discoveries. Stay curious.,,,,"Moscow, Russia",
78,female,,Lover of snow and city lights. Coffee enthusiast. Exploring the balance between tradition and modern life. Sharing moments of joy and inspiration. #Travel #,,@SnowyWhisperer,,Just finished a great workout! Feeling energized and ready to tackle the day. What do you have planned? #motivation #progress,,,,"Sapporo, Japan",
79,brand,,Innovative brand redefining style and quality. Passionate about creativity and sustainability. Join us on our journey to inspire and elevate everyday experiences.,,@UrbanPulseNYC,,Discover the innovative designs that transform your everyday experience. Join us on a journey to elevate your lifestyle. Stay tuned for our latest updates! #Innovation #LifestyleUpgrade,,,,"New York, USA",
80,brand,,Crafting unique experiences and stories through innovative design and authentic connections. Passionate about sustainability and community-driven growth. Join us on this journey.,,@CapeVibeCo,,Discover our latest collection that brings together style and sustainability. Elevate your wardrobe with pieces designed for modern living. Explore now at our site and make a statement. #StyleWithPurpose,,,,"Cape Town, South Africa",
81,male,,"Passionate about tech, travel, and good coffee. Always seeking new adventures and ideas. Sharing thoughts on life, culture, and innovation. #Cur",,@UrbanExplorerFRK,,Just witnessed a stunning sunset over the river today. Moments like these remind me to appreciate the little things in life. #Mindfulness #NatureWonder,,,,"Frankfurt, Germany",
82,male,,Coffee enthusiast | Passionate about soccer | Exploring the world one book at a time | Always chasing the next adventure | Music lover and aspiring chef,,@UrbanPampa,,"Just watching the day unfold, finding joy in the little moments and the beauty that surrounds us all. Grateful for the present.",,,,"Buenos Aires, Argentina",
83,male,,"Passionate about art, culture, and good coffee. Exploring life one adventure at a time. Always curious, forever learning.",,@NantesNavigator,,Feeling inspired today to tackle new challenges head-on. Persistence is the key to unlocking new opportunities. Let's make it happen! #Motivation #Growth,,,,"Nantes, France",
84,female,,Adventure seeker | Coffee enthusiast | Tech lover | Always chasing the sun | Living life one day at a time | Sharing my journey and inspiration,,@DesertDreamer88,,Just finished a great book that reminded me of the power of resilience. Sometimes the best stories come from the toughest challenges. What's everyone else reading lately?,,,,"Phoenix, USA",
85,female,,"Passionate about art, culture, and good food. Exploring life one adventure at a time. Lover of books and coffee. Always curious.",,@ToulouseTwilight,,"Exploring the little things that bring joy today - the aroma of fresh coffee, a good book, and the simple pleasure of slowing down. What are your small joys? #FindJoy",,,,"Toulouse, France",
86,brand,,"Crafting unique experiences with a blend of culture and innovation. Passionate about quality, tradition, and the art of flavors. Join the journey.",,@VibrantEchoes,,"Discover the essence of our craft, where passion meets quality. Join us on a journey of unique flavors that elevate your everyday moments. Your experience starts here. #CraftedWithCare #ElevateEveryday",,,,"Lima, Peru",
87,brand,,"Crafting innovative solutions with a touch of elegance. Passionate about quality, design, and sustainability. Join us on a journey of creativity and inspiration.",,@AlpineVibesZürich,,Discover the art of minimalism with our latest collection. Elevate your space with designs that embody simplicity and elegance. #Design #Minimalism #HomeDecor,,,,"Zurich, Switzerland",
88,male,,Passionate about tech and innovation. Lover of good coffee and great books. Exploring life one adventure at a time. Always seeking new perspectives.,,@UrbanEchoes88,,"Just finished a long day in the office, ready to unwind and explore new books tonight. Any recommendations? #BookLover #EveningVibes",,,,"Frankfurt, Germany",
89,male,,"Passionate about tech, street food enthusiast, and exploring the hidden gems of the city. Always chasing new adventures and stories to tell.",,@SeasideExplorer,,"Just wrapped up a long day, but the energy of the city at night always recharges me. Ready to take on whatever comes next! #Motivation #NightVibes",,,,"Busan, South Korea",
90,brand,,Crafting bold flavors and unforgettable experiences inspired by rich traditions. Passionate about innovation and connecting cultures through culinary art. Join us on this delicious journey.,,@ChongqingVibes,,Dive into vibrant flavors and bold experiences with us. Your adventure awaits! #Explore #Taste #Connect,,,,"Chongqing, China",
91,brand,,Crafting unique experiences with a blend of tradition and modernity. Passionate about innovation and quality. Join us on a journey of creativity and inspiration.,,@AnkaraVibes,,Discover the perfect blend of style and quality with our latest collection. Elevate your everyday wear and embrace your unique flair. Explore more and redefine your wardrobe today! #Fashion #Style #ElevateYourLook,,,,"Ankara, Turkey",
92,female,,"Passionate about culture, cuisine, and cozy corners of the world. Exploring life one adventure at a time. Lover of art, history, and good",,@LuminousViolet,,Savoring the little joys today—like a perfect cup of coffee and the crisp autumn air. It's the simple things that make life beautiful.,,,,"Lyon, France",
93,female,,"Passionate about storytelling, exploring new cultures, and finding beauty in the everyday. Coffee lover and adventure seeker. Always looking for the next great read.",,UrbanWhimsyUK,,Been reflecting on the importance of kindness and human connection today. Small gestures can truly make a big difference. Let's spread some positivity! #GoodVibes,,,,"London, UK",
94,brand,,"Crafting unique experiences and timeless stories. Passionate about culture, creativity, and connection. Exploring the beauty of life, one moment at a time.",,@CairoVibes,,"Discover unparalleled style and quality with our latest collection. Stay authentic, stay original. Visit us today and redefine your wardrobe. #NewArrivals #Authenticity",,,,"Cairo, Egypt",
95,brand,,"Crafting unique experiences through creativity and passion. Celebrating culture, innovation, and connection in every detail. Join the journey.",,@LisbonVibes,,Exploring new horizons and embracing every moment. Discover the beauty in the details and let your journey unfold. #LiveInspired,,,,"Lisbon, Portugal",
96,brand,,Crafting unique experiences and authentic connections. Passionate about innovation and community. Join our journey of creativity and inspiration. #BrandName,,@BirminghamVibe,,"Excited to share our latest collection, designed to inspire and elevate your everyday style. Discover unique pieces that make a statement. Shop now and elevate your wardrobe! #FashionForward",,,,"Birmingham, UK",
97,male,,"Adventure seeker, coffee enthusiast, and lover of all things nature. Exploring life one hike at a time. Always chasing the next great story.",,@FrostyNomad,,Just enjoyed a perfect afternoon exploring new trails. The beauty of nature never gets old. Feeling refreshed and inspired. Going to try and keep this energy going through the week!,,,,"Sapporo, Japan",
98,brand,,"Crafting unique experiences through innovative design and storytelling. Passionate about connection, creativity, and community. Join the journey!",,@TrueNorthVibes,,Discover the difference with our unique products designed to elevate your everyday experiences. Quality and innovation lead the way. Join the journey with us. #ElevateLife,,,,"Toronto, Canada",
